date,site_code,pm2.5,no2,o3,temp,ws,wd,year,month,day_of_week,is_weekend,season,post_ulez,pm25_category
2018-01-01,BT1,16.88,55.7,32.67,4.6,2.4,241,2018,1,Mon,FALSE,Winter,FALSE,Moderate
2018-01-02,BT1,13.77,48.28,31.37,4,4.2,66,2018,1,Tue,FALSE,Winter,FALSE,Moderate
2018-01-03,BT1,14.76,42.9,38.6,-1.4,4.6,269,2018,1,Wed,FALSE,Winter,FALSE,Moderate
2018-01-04,BT1,13.67,20.21,27.99,1.8,5.5,192,2018,1,Thu,FALSE,Winter,FALSE,Moderate
2018-01-05,BT1,13.23,56.24,23.81,4.8,6.2,29,2018,1,Fri,FALSE,Winter,FALSE,Moderate
2018-01-06,BT1,12.94,33.54,41.28,0.9,3.1,351,2018,1,Sat,TRUE,Winter,FALSE,Moderate
2018-01-07,BT1,12.45,25.24,38.75,1.6,3.2,268,2018,1,Sun,TRUE,Winter,FALSE,Moderate
2018-01-08,BT1,15.44,23.27,40.27,1.4,3.1,296,2018,1,Mon,FALSE,Winter,FALSE,Moderate
2018-01-09,BT1,21.4,62.89,31.74,-1.2,4.3,190,2018,1,Tue,FALSE,Winter,FALSE,Unhealthy (sensitive)
2018-01-10,BT1,15.29,40.06,31.27,0.4,3.4,111,2018,1,Wed,FALSE,Winter,FALSE,Moderate
2018-01-11,BT1,12.6,27.6,36.17,0.3,7.2,251,2018,1,Thu,FALSE,Winter,FALSE,Moderate
2018-01-12,BT1,16.64,44.11,34.56,-0.9,3.3,134,2018,1,Fri,FALSE,Winter,FALSE,Moderate
2018-01-13,BT1,17.69,40.48,37.34,3.4,2.1,11,2018,1,Sat,TRUE,Winter,FALSE,Moderate
2018-01-14,BT1,18.83,49.84,24.71,1.7,1.5,190,2018,1,Sun,TRUE,Winter,FALSE,Moderate
2018-01-15,BT1,17.2,47.09,35.29,5.1,2.4,84,2018,1,Mon,FALSE,Winter,FALSE,Moderate
2018-01-16,BT1,15.18,46.23,39.78,0.3,3,266,2018,1,Tue,FALSE,Winter,FALSE,Moderate
2018-01-17,BT1,15.89,49.03,33.59,2.6,6.6,244,2018,1,Wed,FALSE,Winter,FALSE,Moderate
2018-01-18,BT1,15.54,42.69,35.42,1.8,3.2,75,2018,1,Thu,FALSE,Winter,FALSE,Moderate
2018-01-19,BT1,27.29,83.2,10.16,8.6,4.5,47,2018,1,Fri,FALSE,Winter,FALSE,Unhealthy
2018-01-20,BT1,9.02,30.48,38.16,0.5,2.4,291,2018,1,Sat,TRUE,Winter,FALSE,Good
2018-01-21,BT1,10.57,16.38,47.51,1.6,4.8,73,2018,1,Sun,TRUE,Winter,FALSE,Moderate
2018-01-22,BT1,16.65,46.1,32.11,4.4,8,228,2018,1,Mon,FALSE,Winter,FALSE,Moderate
2018-01-23,BT1,15.4,52.16,19.01,2,4.8,44,2018,1,Tue,FALSE,Winter,FALSE,Moderate
2018-01-24,BT1,14.7,40.73,39.87,1.9,4.6,61,2018,1,Wed,FALSE,Winter,FALSE,Moderate
2018-01-25,BT1,14.61,50.13,21.75,2.4,18.6,181,2018,1,Thu,FALSE,Winter,FALSE,Moderate
2018-01-26,BT1,15.83,50.93,28.83,1.2,3.8,125,2018,1,Fri,FALSE,Winter,FALSE,Moderate
2018-01-27,BT1,11.31,23.73,40.67,3.6,2.6,330,2018,1,Sat,TRUE,Winter,FALSE,Moderate
2018-01-28,BT1,14.37,38.23,43.49,-0.6,5.5,290,2018,1,Sun,TRUE,Winter,FALSE,Moderate
2018-01-29,BT1,20.28,48.01,32.25,4,3.3,84,2018,1,Mon,FALSE,Winter,FALSE,Unhealthy (sensitive)
2018-01-30,BT1,16.42,30.14,33.3,2.6,4.2,303,2018,1,Tue,FALSE,Winter,FALSE,Moderate
2018-01-31,BT1,16.29,54.69,21.03,6.7,14.4,123,2018,1,Wed,FALSE,Winter,FALSE,Moderate
2018-02-01,BT1,13.63,41.17,32.59,3.9,1.5,73,2018,2,Thu,FALSE,Winter,FALSE,Moderate
2018-02-02,BT1,12.96,37.69,38.11,5.1,3.3,0,2018,2,Fri,FALSE,Winter,FALSE,Moderate
2018-02-03,BT1,14.59,42.74,31.25,6.5,6,235,2018,2,Sat,TRUE,Winter,FALSE,Moderate
2018-02-04,BT1,11.49,7.82,38.52,6.4,4.9,51,2018,2,Sun,TRUE,Winter,FALSE,Moderate
2018-02-05,BT1,16.96,44.55,31.72,7.2,5.1,337,2018,2,Mon,FALSE,Winter,FALSE,Moderate
2018-02-06,BT1,23.85,61.47,25.08,4.3,7.1,277,2018,2,Tue,FALSE,Winter,FALSE,Unhealthy (sensitive)
2018-02-07,BT1,11.61,34.31,35.73,5,2,53,2018,2,Wed,FALSE,Winter,FALSE,Moderate
2018-02-08,BT1,21.16,61.35,29.09,10.3,5.2,3,2018,2,Thu,FALSE,Winter,FALSE,Unhealthy (sensitive)
2018-02-09,BT1,16.28,52.04,35.15,5,4,180,2018,2,Fri,FALSE,Winter,FALSE,Moderate
2018-02-10,BT1,11.27,32.57,36.92,5.8,6.6,57,2018,2,Sat,TRUE,Winter,FALSE,Moderate
2018-02-11,BT1,9.02,23.54,30.73,0.6,3.7,299,2018,2,Sun,TRUE,Winter,FALSE,Good
2018-02-12,BT1,16.1,27.55,42.79,5.5,3.3,312,2018,2,Mon,FALSE,Winter,FALSE,Moderate
2018-02-13,BT1,16.82,41.92,47.22,9.7,5.3,49,2018,2,Tue,FALSE,Winter,FALSE,Moderate
2018-02-14,BT1,17.54,46.84,23.5,5.1,2.5,323,2018,2,Wed,FALSE,Winter,FALSE,Moderate
2018-02-15,BT1,15.82,29.15,32.41,1.6,4.4,307,2018,2,Thu,FALSE,Winter,FALSE,Moderate
2018-02-16,BT1,18.82,58.64,25.67,5.6,4.9,145,2018,2,Fri,FALSE,Winter,FALSE,Moderate
2018-02-17,BT1,12.16,48.05,28.54,5.6,2.8,314,2018,2,Sat,TRUE,Winter,FALSE,Moderate
2018-02-18,BT1,16.61,39.32,31.34,4.8,5.5,41,2018,2,Sun,TRUE,Winter,FALSE,Moderate
2018-02-19,BT1,19.17,62.37,25.55,8.1,3.1,280,2018,2,Mon,FALSE,Winter,FALSE,Moderate
2018-02-20,BT1,18.42,51.06,37.95,4.4,5.1,359,2018,2,Tue,FALSE,Winter,FALSE,Moderate
2018-02-21,BT1,15.63,54.87,21.28,7.6,7.2,355,2018,2,Wed,FALSE,Winter,FALSE,Moderate
2018-02-22,BT1,15.3,40.63,28.61,8.8,4.3,50,2018,2,Thu,FALSE,Winter,FALSE,Moderate
2018-02-23,BT1,10.33,28.01,41.14,7.2,4.1,12,2018,2,Fri,FALSE,Winter,FALSE,Moderate
2018-02-24,BT1,13.03,25.1,40.93,9.5,1.3,220,2018,2,Sat,TRUE,Winter,FALSE,Moderate
2018-02-25,BT1,19.37,57.82,19.63,6.7,2.4,53,2018,2,Sun,TRUE,Winter,FALSE,Moderate
2018-02-26,BT1,14.54,40.73,36.96,5.2,7.7,25,2018,2,Mon,FALSE,Winter,FALSE,Moderate
2018-02-27,BT1,18.57,56.23,33.95,3.9,1.8,230,2018,2,Tue,FALSE,Winter,FALSE,Moderate
2018-02-28,BT1,15.76,52.35,30.54,7,4.7,225,2018,2,Wed,FALSE,Winter,FALSE,Moderate
2018-03-01,BT1,12.12,35.3,33.4,8.9,3.6,178,2018,3,Thu,FALSE,Spring,FALSE,Moderate
2018-03-02,BT1,14.3,36.95,39.77,3.4,6.8,329,2018,3,Fri,FALSE,Spring,FALSE,Moderate
2018-03-03,BT1,5.98,8.31,41.44,11.6,1.9,57,2018,3,Sat,TRUE,Spring,FALSE,Good
2018-03-04,BT1,18.45,72.65,19.65,8.3,3.6,28,2018,3,Sun,TRUE,Spring,FALSE,Moderate
2018-03-05,BT1,14.17,35.97,35.09,6.6,1.6,311,2018,3,Mon,FALSE,Spring,FALSE,Moderate
